Essay ID,Essay Set,Word count limit ratio,Long sentences,Voice,Tense,Spell errors,Grammatical Errors,SS Essay,SS Topic Essay,Vocabulary,Word Count,Sentence Count,Score
53,1,0.152,0.333333333,0.964285714,0.536842105,0.014150943,0.028301887,1.399077116,1.1516599,0.236,424,27,8
54,1,0.17,0.266666667,1,0.666666667,0.043373494,0.019277108,1.130988776,1.029632314,0.302,415,30,10
55,1,0.526,0.545454545,1,0.525,0.029535865,0.008438819,1.196452553,0.708239989,0.134,237,11,8
56,1,0.062,0.590909091,0.955555556,0.544444444,0.017057569,0.004264392,1.165048814,1.147329935,0.356,469,22,10
57,1,0.418,0.260869565,0.84375,0.548387097,0.034364261,0.010309278,1.191977449,0.968490298,0.222,291,23,9
58,1,0.606,0.357142857,1,0.619047619,0.020304569,0.050761421,1.078222401,0.980589735,0.14,197,14,7
59,1,0.116,0.636363636,1,0.584269663,0.029411765,0.011312217,1.260534384,1.196206809,0.268,442,22,8
60,1,0.864,0.166666667,1,0.769230769,0.029411765,0.014705882,1.019973795,0.757990295,0.062,68,6,4
61,1,0.398,0.304347826,1,0.528571429,0.013289037,0.003322259,1.277060603,1.064468871,0.182,301,23,8
62,1,0.434,0.642857143,1,0.44,0.053003534,0.03180212,1.526025934,1.101173072,0.162,283,14,8
63,1,0.42,0.588235294,0.976744186,0.568965517,0.013793103,0.013793103,1.223176377,0.941098847,0.144,290,17,8
64,1,0.566,0.833333333,1,0.581395349,0.050691244,0.01843318,0.828971033,0.585566607,0.124,217,6,7
65,1,0.172,0.541666667,0.978723404,0.550561798,0.026570048,0.012077295,1.270300321,1.095995372,0.246,414,24,9
66,1,0.258,0.4,1,0.469135802,0.032345013,0.016172507,1.123626871,1.046192597,0.258,371,25,9
67,1,0.414,0.35,1,0.571428571,0.034129693,0.013651877,1.128652349,0.978279235,0.182,293,20,8
68,1,0.22,0.151515152,0.956521739,0.568181818,0.030769231,0.01025641,1.068235577,1.054450809,0.282,390,33,9
69,1,0.518,0.444444444,1,0.566037736,0.01659751,0.033195021,1.021583494,0.873280285,0.168,241,18,7
70,1,0.156,0.392857143,0.976190476,0.535211268,0.014218009,0.028436019,1.288437781,1.010753688,0.308,422,28,12
71,1,0.114,0.666666667,0.98,0.465909091,0.027088036,0.031602709,1.520696187,1.262607408,0.252,443,21,10
72,1,0.054,0.68,0.857142857,0.558333333,0.026565465,0.011385199,1.35767694,1.157442056,0.362,527,25,10
73,1,0.228,0.571428571,0.933333333,0.563380282,0.023316062,0.051813472,1.21715511,0.88724825,0.268,386,21,8
74,1,0.406,0.172413793,1,0.628571429,0.01010101,0.02020202,1.143011098,1.061530555,0.176,297,29,7
75,1,0.304,0.523809524,0.740740741,0.385714286,0.017241379,0.00862069,1.21229107,1.102507648,0.26,348,21,8
76,1,0.404,0.368421053,0.925,0.5,0.036912752,0.036912752,1.201725368,1.002139492,0.182,298,19,8
77,1,0.044,0.085106383,1,0.479338843,0.03256705,0.019157088,1.492638803,1.212691897,0.322,522,47,10
78,1,0.16,0.212121212,0.975,0.493670886,0.019047619,0.102380952,1.229176933,1.113334311,0.234,420,33,10
79,1,0.238,0.5,1,0.347826087,0.010498688,0.031496063,1.508141359,1.295846234,0.184,381,18,10
80,1,0.184,0.666666667,0.921052632,0.609195402,0.071078431,0.026960784,1.270830273,1.078949357,0.294,408,21,8
81,1,0.274,0.875,1,0.623376623,0.044077135,0.022038567,1.15064137,0.965990006,0.196,363,16,8
82,1,0.438,0.173913043,1,0.641509434,0.046263345,0.024911032,1.224361657,1.038896365,0.186,281,23,8
83,1,0.584,0.888888889,1,0.551020408,0.052884615,0.038461538,1.16325536,0.823427127,0.14,208,9,7
84,1,0.596,0.363636364,1,0.552631579,0.034653465,0.02970297,0.972972006,0.821064307,0.09,202,11,6
85,1,0.086,0.612903226,1,0.655172414,0.025782689,0.009208103,1.452806257,1.201989421,0.262,543,31,10
86,1,0.162,0.392857143,0.897435897,0.623188406,0.033412888,0.021479714,1.217458667,1.269320431,0.3,419,28,8
87,1,0.172,0.153846154,0.947368421,0.597560976,0.031400966,0.028985507,0.966236941,0.894166064,0.306,414,39,10
88,1,0.118,0.842105263,0.977777778,0.577319588,0.024943311,0.034013605,1.287409182,1.0607446,0.232,441,19,9
89,1,0.536,0,1,0.645833333,0.038793103,0.004310345,1.372737585,0.966085079,0.106,232,29,6
90,1,0.542,0.666666667,1,0.644444444,0.017467249,0.004366812,1.252367097,0.966594074,0.142,229,9,7
91,1,0.536,0.466666667,1,0.619047619,0.051724138,0.034482759,1.077693385,0.764289936,0.148,232,15,8
92,1,0.302,0.215686275,0.988888889,0.518518519,0.021505376,0.02764977,1.139561158,1.201455351,0.39,651,51,11
93,1,0.074,0.772727273,0.891304348,0.465116279,0.026070764,0.020484171,1.086950785,1.147902917,0.432,537,22,11
94,1,0.374,0.2,1,0.542857143,0,0.006389776,1.030341035,0.905324204,0.2,313,25,8
95,1,0.076,0.305555556,1,0.463917526,0.023809524,0.017316017,0.845635158,0.901042284,0.308,462,36,10
96,1,0.54,0.4,1,0.634146341,0.047826087,0.004347826,1.032368477,0.841887369,0.188,230,15,7
97,1,0.412,0.285714286,0.939393939,0.557377049,0.051020408,0.006802721,1.049772884,0.960560669,0.24,294,21,8
98,1,0.178,0.205882353,0.853658537,0.455555556,0.055961071,0.00243309,1.147333026,1.063536586,0.32,411,34,11
99,1,0.306,0.55,0.952380952,0.455696203,0.048991354,0.034582133,1.127289445,0.862505057,0.268,347,20,8
100,1,0.532,0.411764706,1,0.588235294,0.055555556,0.034188034,1.016975127,0.761223627,0.154,234,17,7
101,1,0.068,0.25,0.982142857,0.626262626,0.019313305,0.017167382,1.218584813,1.076110981,0.322,466,40,10
102,1,0.34,0.307692308,0.975,0.561643836,0.012121212,0.006060606,1.39478603,1.210743118,0.178,330,26,8
103,1,0.216,0.666666667,0.977272727,0.469879518,0.007653061,0.007653061,1.193412169,0.992213985,0.232,392,18,9
104,1,0.198,0.476190476,1,0.520408163,0.027431421,0.007481297,1.367597025,1.287366373,0.218,401,21,10
105,1,0.074,0.558823529,0.933333333,0.469565217,0.011173184,0.031657356,1.201676431,0.996596126,0.296,537,34,9
106,1,0.278,0.166666667,0.93877551,0.556962025,0.019390582,0.016620499,1.217224717,1.025818021,0.3,361,30,11
107,1,0.262,0.173076923,1,0.6328125,0.017432647,0.009508716,1.250853319,1.181954796,0.35,631,52,10
108,1,0.268,0.476190476,1,0.539473684,0.038251366,0.013661202,1.072346535,1.058334584,0.246,366,21,8
109,1,0.304,0.375,0.981481481,0.544117647,0,0.037356322,1.097455894,1.151163202,0.174,348,24,8
110,1,0.528,0.615384615,0.964285714,0.5,0.012711864,0.021186441,0.921004756,0.748936176,0.168,236,13,6
111,1,0.098,0.416666667,0.957446809,0.429824561,0.030965392,0.001821494,1.275081596,1.144430717,0.392,549,36,11
112,1,0.182,0.448275862,0.936170213,0.511363636,0.029339853,0.017114914,1.022326778,0.909646161,0.326,409,29,9
113,1,0.344,0.285714286,0.955555556,0.5,0.048780488,0.021341463,1.018275538,0.921756728,0.216,328,28,8
114,1,0.186,0.375,0.980769231,0.658823529,0.024570025,0.00982801,1.472917015,1.194498624,0.256,407,24,8
115,1,0.016,0.517241379,1,0.420560748,0.037401575,0.023622047,1.034061982,0.881414528,0.294,508,29,9
116,1,0.894,0.5,1,0.909090909,0,0.075471698,0.501078551,0.553012686,0.052,53,4,4
117,1,0.362,0.24,1,0.484848485,0.018808777,0.012539185,1.011753383,0.960529028,0.192,319,25,8
118,1,0.134,0.535714286,0.97826087,0.614285714,0.011547344,0.034642032,0.94571135,1.045064324,0.332,433,28,12
119,1,0.03,0.27027027,1,0.614035088,0.030927835,0.016494845,1.010541026,0.913554395,0.37,485,37,10
120,1,0.254,0.55,1,0.581081081,0.034852547,0.010723861,1.185585446,0.880096016,0.214,373,20,8
121,1,0.264,0.647058824,1,0.526315789,0.10326087,0.029891304,1.040431404,0.728419876,0.246,368,17,8
122,1,0.066,0.586206897,0.814814815,0.423076923,0.015009381,0.009380863,1.48203856,1.214166968,0.288,533,29,9
123,1,0.178,0.379310345,0.888888889,0.528089888,0.01703163,0.01216545,1.423131277,1.028160773,0.26,411,29,10
124,1,0.454,1,0.967741935,0.517857143,0.029304029,0.010989011,1.417554129,0.870051106,0.138,273,9,7
125,1,0.65,1,1,0.458333333,0.022857143,0.034285714,0,0,0.1,175,1,5
126,1,0.44,0.7,1,0.637931034,0.05,0.014285714,1.03228416,0.868923889,0.186,280,10,8
127,1,0.196,0.52173913,0.956521739,0.513157895,0,0.014925373,1.033277051,1.004690623,0.254,402,23,9
128,1,0.188,0.3,1,0.703703704,0.009852217,0.007389163,1.200474561,0.975244756,0.3,406,30,9
129,1,0.168,0.5,1,0.573033708,0.019230769,0.009615385,1.109009418,1.00345645,0.23,416,26,10
130,1,0.174,0.435897436,1,0.567567568,0.023850085,0.005110733,1.317330545,1.315581319,0.334,587,39,10
131,1,0.16,0.666666667,0.979166667,0.551724138,0.011904762,0.00952381,1.243606471,1.217182007,0.31,420,24,10
132,1,0.15,0.72,0.961538462,0.556962025,0.035294118,0.023529412,1.005632712,1.081458621,0.332,425,25,11
133,1,0.014,0.181818182,1,0.606060606,0.029585799,0.01183432,1.069989866,1.002471938,0.316,507,44,10
134,1,0.2,0.416666667,1,0.583333333,0.0275,0.01,1.213605276,1.007678095,0.238,400,24,10
135,1,0.478,0.818181818,1,0.647058824,0.042145594,0.003831418,0.878566259,0.806771938,0.194,261,11,7
136,1,0.084,0.317073171,0.986666667,0.62962963,0.036900369,0.040590406,1.234295649,1.137857812,0.354,542,41,9
137,1,0.514,0.875,0.961538462,0.512195122,0.020576132,0.020576132,0.922013601,0.77110637,0.166,243,8,7
138,1,0.198,0.416666667,0.977272727,0.575342466,0.039900249,0.037406484,1.099956877,1.118940734,0.278,401,24,10
139,1,0.64,0.416666667,1,0.657894737,0.005555556,0.027777778,1.141526754,0.786036351,0.112,180,12,7
140,1,0.28,0.233333333,0.976744186,0.5,0.047222222,0.005555556,1.006277624,0.940801148,0.238,360,30,9
141,1,0.15,0.545454545,0.95890411,0.537190083,0.026086957,0.017391304,1.093047848,1.082053312,0.384,575,33,10
142,1,0.238,0.416666667,0.97826087,0.691358025,0.015748031,0.039370079,1.109278306,1.03501596,0.26,381,24,10
143,1,0.394,0.473684211,1,0.461538462,0.056105611,0.02310231,0.963885074,0.973576678,0.206,303,19,7
144,1,0.118,0.35483871,0.957446809,0.494736842,0.027210884,0.020408163,1.406432791,1.090231071,0.238,441,31,9
145,1,0.278,0.416666667,0.868421053,0.410958904,0.058171745,0.002770083,1.202767037,1.003794199,0.282,361,24,10
146,1,0.63,1,1,0.454545455,0.118918919,0.010810811,0.488733332,0.494691073,0.13,185,3,6
147,1,0.19,0.461538462,0.821428571,0.533898305,0.026890756,0.006722689,1.211687637,1.058033579,0.452,595,39,12
148,1,0.388,0.529411765,1,0.6,0.055555556,0.006535948,1.466897818,1.076633994,0.184,306,17,9
149,1,0.128,0.6,1,0.692307692,0.064220183,0.002293578,1.775996385,1.408813004,0.194,436,20,8
150,1,0.394,0.333333333,1,0.551020408,0.04620462,0.01650165,0.941226627,0.799668225,0.202,303,24,8
151,1,0.51,1,1,0.547169811,0.044897959,0.016326531,0.85514224,0.923045535,0.17,245,7,8
152,1,0.656,0.636363636,0.96,0.828571429,0.01744186,0.011627907,1.388604824,1.161239655,0.088,172,11,6
153,1,0.022,0.535714286,1,0.5,0.008179959,0.008179959,1.548245229,1.130961959,0.214,489,28,9
154,1,0.154,0.333333333,1,0.56,0.01891253,0.011820331,0.952706675,0.996835686,0.288,423,33,12
155,1,0.126,0.428571429,0.983870968,0.666666667,0.020594966,0.036613272,1.502497919,1.196873281,0.284,437,28,10
156,1,0.334,0.137931034,1,0.616666667,0.015015015,0.021021021,0.918973692,0.980281895,0.222,333,29,8
157,1,0.104,0.448275862,0.962962963,0.576470588,0.060267857,0.033482143,1.085127594,0.976698268,0.342,448,29,9
158,1,0.296,0.269230769,1,0.482758621,0.065340909,0.005681818,1.220823492,1.065751097,0.266,352,26,9
159,1,0.076,0.243243243,1,0.677419355,0.034632035,0.015151515,1.372146216,1.060380172,0.314,462,37,10
160,1,0.456,0.19047619,1,0.68,0.011029412,0.025735294,1.485214299,1.0560854,0.156,272,21,8
161,1,0.166,0.366666667,1,0.493975904,0.016786571,0.007194245,1.217548945,1.120186667,0.216,417,30,10
162,1,0.068,0.586206897,0.909090909,0.514851485,0.033707865,0.011235955,1.150565703,1.160116402,0.384,534,29,12
163,1,0.536,0.136363636,0.903225806,0.648148148,0.107758621,0.012931034,1.393043961,0.992628391,0.196,232,22,8
164,1,0.51,0.777777778,0.862068966,0.553191489,0.012244898,0.008163265,1.380439361,1.22626054,0.17,245,9,8
165,1,0.258,0.2,0.955555556,0.506024096,0.091644205,0.016172507,1.060683433,0.90532208,0.316,371,30,9
166,1,0.074,0.545454545,0.923076923,0.468468468,0.018621974,0.020484171,0.96101793,1.056230456,0.414,537,33,10
167,1,0.338,0.55,0.97826087,0.474576271,0.03021148,0.072507553,0.973730605,0.939862639,0.212,331,20,8
168,1,0.106,0.625,0.981132075,0.575,0.049217002,0.004474273,1.349641254,1.150111519,0.27,447,16,9
169,1,0.7,0.4,1,0.586206897,0.033333333,0.006666667,0.655551979,0.716369136,0.138,150,10,6
170,1,0.33,0.380952381,1,0.712121212,0.017910448,0.008955224,1.253261719,1.066771476,0.2,335,21,8
171,1,0.356,1,1,0.508196721,0.00931677,0.01863354,1.310050183,0.891145329,0.138,322,5,8
172,1,0.49,1,1,0.551020408,0.039215686,0.007843137,0.94496574,0.857511629,0.152,255,6,8
173,1,0.488,0.666666667,1,0.533333333,0.05078125,0.0234375,0.988924465,0.880519349,0.174,256,12,8
174,1,0.302,0.28,0.97826087,0.548780488,0.140401146,0.020057307,1.039174081,0.835357055,0.28,349,25,8
175,1,0.34,0.476190476,1,0.671875,0.018181818,0.012121212,1.201284207,0.966782637,0.248,330,21,8
176,1,0.238,0.55,0.961538462,0.549450549,0.039370079,0.023622047,1.030598878,1.011820155,0.276,381,20,10
177,1,0.348,0.347826087,1,0.507936508,0.024539877,0.012269939,1.170203863,0.962581946,0.21,326,23,8
178,1,0.464,0.3,0.807692308,0.465116279,0.078358209,0.03358209,0.791948197,0.89883901,0.216,268,20,8
179,1,0.45,0.173913043,0.903225806,0.528301887,0.003636364,0,1.326090953,1.015520291,0.186,275,23,8
180,1,0.126,0.333333333,1,0.5,0.011441648,0.018306636,1.015659345,0.942405124,0.252,437,30,10
181,1,0.116,0.466666667,0.905660377,0.530864198,0.018099548,0.022624434,1.263538023,1.137788657,0.32,442,30,10
182,1,0.414,0.529411765,1,0.594202899,0.034129693,0.027303754,1.531361577,1.192366137,0.146,293,17,8
183,1,0.214,0.5,0.9375,0.641975309,0.015267176,0.030534351,1.17009316,1.06127363,0.256,393,26,8
184,1,0.226,0.6875,1,0.483870968,0.033591731,0.036175711,1.212204526,0.884923022,0.176,387,16,8
185,1,0.068,0.5,0.985507246,0.616071429,0.02360515,0.019313305,1.441441767,1.253541736,0.232,466,28,8
186,1,0.33,0.454545455,0.907407407,0.701298701,0.014925373,0.017910448,1.49943403,1.157620735,0.16,335,22,8
187,1,0.778,0.666666667,1,0.608695652,0.045045045,0.027027027,0.47991347,0.503300616,0.078,111,3,5
188,1,0.178,0.565217391,0.981132075,0.488372093,0.01703163,0.00243309,1.05510892,1.168116285,0.258,411,23,9
189,1,0.748,0,1,0.545454545,0.03968254,0.023809524,0.926392175,0.723118968,0.102,126,20,6
190,1,0.362,0.391304348,0.975609756,0.701492537,0.021943574,0.043887147,0.929822141,1.040870849,0.258,319,23,10
191,1,0.512,0.4375,0.939393939,0.481481481,0.024590164,0.008196721,1.209923701,0.900135772,0.148,244,16,8
192,1,0.026,0.205128205,1,0.65625,0.075975359,0.016427105,1.507122556,1.307576577,0.274,487,39,11
193,1,0.202,0.413793103,0.976744186,0.578125,0.010025063,0.015037594,1.091962786,0.997555309,0.256,399,29,8
194,1,0.042,0.411764706,1,0.474226804,0.017274472,0.005758157,1.145541248,1.210396069,0.382,521,34,10
195,1,0.754,0.222222222,0.923076923,0.461538462,0.056910569,0.032520325,0.655445428,0.593642618,0.116,123,9,5
196,1,0.236,0.285714286,0.976744186,0.5,0.041884817,0.020942408,1.38218284,1.057156963,0.208,382,28,8
197,1,0.042,0.68,0.985074627,0.557692308,0.005758157,0.021113244,1.166120175,0.921809045,0.318,521,25,10
198,1,0.158,0.652173913,0.959183673,0.5375,0.021377672,0.016627078,1.148546491,1.102676642,0.3,421,23,10
199,1,0.476,0.564102564,0.945054945,0.548387097,0.031165312,0.016260163,1.579346083,1.18725636,0.43,738,39,11
200,1,0.278,0.296296296,1,0.530120482,0.027700831,0.011080332,1.197062084,1.08754791,0.208,361,27,8
201,1,0.21,0.407407407,0.981132075,0.646341463,0.020253165,0.012658228,1.053330274,0.980700131,0.308,395,27,9
202,1,0.248,0.392857143,0.979591837,0.591549296,0.034574468,0.029255319,1.160188143,1.075078193,0.236,376,28,8
203,1,0.006,0.592592593,0.984126984,0.524271845,0.018108652,0.006036217,1.314845495,1.002671183,0.252,497,27,10
204,1,0.264,0.151515152,0.941176471,0.574712644,0.016304348,0.002717391,1.336940999,1.121712582,0.234,368,33,10
205,1,0.12,0.255319149,1,0.568965517,0.041071429,0.033928571,0.829593788,0.981058833,0.462,560,47,10
206,1,0.274,0.36,1,0.56,0.022038567,0.002754821,1.029365509,1.098669379,0.284,363,25,10
207,1,0.44,0.2,0.911111111,0.611940299,0.007142857,0.017857143,1.332284487,1.038763104,0.184,280,25,8
208,1,0.7,0.4,1,0.84,0.006666667,0.013333333,1.124882713,1.073017572,0.084,150,10,6
209,1,0.672,0.375,1,0.540540541,0.012195122,0.042682927,1.000026978,0.806640446,0.13,164,8,6
210,1,0.246,0.423076923,1,0.653846154,0.026525199,0.023872679,1.23110316,1.13672992,0.27,377,26,9
211,1,0.62,0.583333333,1,0.714285714,0.036842105,0.005263158,1.080555226,0.795341888,0.102,190,12,6
212,1,0.462,0.25,1,0.661016949,0.003717472,0.007434944,1.512337849,1.013194351,0.148,269,20,7
213,1,0.37,0.45,1,0.4375,0.028571429,0.012698413,1.4017627,0.90215638,0.162,315,20,8
214,1,0.39,0.571428571,0.913043478,0.611111111,0.078688525,0.019672131,0.978322728,0.946336004,0.254,305,14,8
215,1,0.106,0.571428571,1,0.62,0.03074141,0.023508137,1.15244503,1.265969575,0.4,553,28,10
216,1,0.2,0.6,1,0.476190476,0.035,0.0175,1.162072152,1.049208135,0.25,400,20,8
217,1,0.046,0.307692308,0.987012987,0.541666667,0.013384321,0.015296367,1.116308541,1.049888888,0.35,523,39,10
218,1,0.322,0.153846154,1,0.709090909,0.02359882,0.03539823,0.877033544,0.906327869,0.268,339,26,8
219,1,0.226,0.434782609,0.979166667,0.594594595,0.023255814,0.010335917,0.889099344,0.963002128,0.274,387,23,9
220,1,0.138,0.135135135,0.944444444,0.520408163,0.106728538,0.016241299,1.111325306,0.979697909,0.356,431,37,10
221,1,0.588,0.105263158,1,0.472222222,0.014563107,0.014563107,0.733078828,0.779029509,0.154,206,19,6
222,1,0.126,0.481481481,0.955555556,0.613636364,0.009153318,0.027459954,1.151060562,1.127067072,0.332,437,27,9
223,1,0.15,0.785714286,1,0.657894737,0.030588235,0.018823529,1.27866932,1.256754868,0.268,425,14,8
224,1,0.318,0.5,1,0.537313433,0.041055718,0.035190616,1.246898655,1.065052384,0.224,341,20,8
225,1,0.062,0.302325581,0.972222222,0.460176991,0.028248588,0.011299435,1.156409088,0.981540889,0.366,531,43,12
226,1,0.504,0.210526316,1,0.479166667,0.008064516,0.012096774,1.086234507,0.992418178,0.144,248,19,8
227,1,0.276,0.296296296,1,0.658536585,0.022099448,0.011049724,1.270487204,1.091296072,0.244,362,27,9
228,1,0.416,0.545454545,0.833333333,0.482758621,0.065068493,0,1.120903475,0.900589334,0.19,292,11,8
229,1,0.45,0.291666667,1,0.515151515,0.061818182,0.036363636,1.091490302,1.022384874,0.196,275,24,8
230,1,0.094,0.419354839,1,0.617021277,0.024282561,0.006622517,1.32742117,1.206440095,0.264,453,31,9
231,1,0.452,0.217391304,1,0.724137931,0.03649635,0.010948905,1.117675042,0.942611979,0.2,274,23,8
232,1,0.062,0.388888889,0.957746479,0.714285714,0.018832392,0.018832392,1.128174341,1.069205027,0.41,531,36,12
233,1,0.614,0.555555556,1,0.535714286,0.274611399,0.015544041,0.645183877,0.562868604,0.208,193,9,7
234,1,0.186,0.28125,1,0.506493506,0.004914005,0.00982801,1.1644878,1.17262371,0.24,407,32,8
235,1,0.404,0.368421053,1,0.607142857,0.043624161,0.043624161,1.113551472,0.931137773,0.18,298,19,7
236,1,0.598,0.8,1,0.446808511,0.114427861,0.014925373,0.951970917,0.727736345,0.146,201,10,6
237,1,0.368,0.588235294,0.923076923,0.571428571,0.03164557,0.03164557,1.101940813,1.037401217,0.226,316,17,8
238,1,0.358,0.615384615,1,0.684210526,0.028037383,0.015576324,1.091376105,1.096972886,0.206,321,13,9
239,1,0.124,0.761904762,1,0.731182796,0.01826484,0.020547945,1.912401664,1.392987586,0.184,438,21,9
240,1,0.492,0.368421053,1,0.489795918,0.047244094,0.011811024,0.924873911,0.85270113,0.21,254,19,8
241,1,0.508,0.5,1,0.612244898,0.048780488,0.032520325,0.857383086,0.817830914,0.188,246,12,9
242,1,0.138,0.419354839,0.979166667,0.56043956,0.013921114,0.013921114,1.268116517,1.02048739,0.264,431,31,9
243,1,0.264,0.617647059,0.975308642,0.492537313,0.012658228,0.014240506,1.488370393,1.315393546,0.3,632,34,11
